location,date,snow_depth
Bon,3/29/22,0
Car,3/29/22,0
Arl,3/29/22,0
Han,3/29/22,0
Spo,3/29/22,0
Dek,3/29/22,0
Bon,3/30/22,0
Car,3/30/22,0
Arl,3/30/22,0
Han,3/30/22,0
Spo,3/30/22,0
Dek,3/30/22,0
Bon,3/31/22,0
Car,3/31/22,0
Arl,3/31/22,0
Han,3/31/22,0
Spo,3/31/22,57
Dek,3/31/22,0
Bon,4/1/22,0
Car,4/1/22,4
Arl,4/1/22,69
Han,4/1/22,25
Spo,4/1/22,51
Dek,4/1/22,39
Bon,4/2/22,0
Car,4/2/22,0
Arl,4/2/22,48
Han,4/2/22,0
Spo,4/2/22,44
Dek,4/2/22,23
Bon,4/3/22,0
Car,4/3/22,0
Arl,4/3/22,82
Han,4/3/22,21
Spo,4/3/22,32
Dek,4/3/22,35
Bon,4/4/22,0
Car,4/4/22,0
Arl,4/4/22,33
Han,4/4/22,16
Spo,4/4/22,24
Dek,4/4/22,0
Bon,4/5/22,0
Car,4/5/22,0
Arl,4/5/22,0
Han,4/5/22,11
Spo,4/5/22,33
Dek,4/5/22,0
Bon,4/6/22,0
Car,4/6/22,0
Arl,4/6/22,0
Han,4/6/22,0
Spo,4/6/22,0
Dek,4/6/22,0
Bon,4/7/22,0
Car,4/7/22,0
Arl,4/7/22,0
Han,4/7/22,0
Spo,4/7/22,0
Dek,4/7/22,0
Bon,4/8/22,0
Car,4/8/22,0
Arl,4/8/22,0
Han,4/8/22,0
Spo,4/8/22,8
Dek,4/8/22,0
Bon,4/9/22,0
Car,4/9/22,0
Arl,4/9/22,7
Han,4/9/22,0
Spo,4/9/22,0
Dek,4/9/22,0
Bon,4/10/22,0
Car,4/10/22,0
Arl,4/10/22,0
Han,4/10/22,0
Spo,4/10/22,0
Dek,4/10/22,0
Bon,4/11/22,0
Car,4/11/22,0
Arl,4/11/22,0
Han,4/11/22,0
Spo,4/11/22,0
Dek,4/11/22,0
Bon,4/12/22,0
Car,4/12/22,0
Arl,4/12/22,0
Han,4/12/22,0
Spo,4/12/22,0
Dek,4/12/22,0
Bon,4/13/22,0
Car,4/13/22,0
Arl,4/13/22,0
